Date,Description,Card Member,Amount
01/10/2025,TRAINLINE.COM           LONDON,MR SMITH,22.89
07/10/2025,DELIVEROO               LONDON,MR SMITH,19.37
14/10/2025,B&Q CHELMSFORD,MR SMITH,5
15/10/2025,UBER TRIP               HTTPS://HELP.UB,MR SMITH,7.54
29/10/2025,BOLT                    LONDON,MR SMITH,39.93
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
